Date,Price,Open,High,Low,Change %,USD_per_mt,USD_per_kg,VND_per_kg
2020-08-27,122.39,122.39,122.39,122.39,-0.06,122.39,0.12239,3218.857
2020-08-28,122.45,122.45,122.45,122.45,0.05,122.45,0.12245,3220.435
2020-08-31,122.53,122.53,122.53,122.53,0.07,122.53,0.12253,3222.539
2020-09-01,123.68,123.68,123.68,123.68,0.94,123.68,0.12368000000000001,3252.784
2020-09-02,126.06,126.06,126.06,126.06,1.92,126.06,0.12606,3315.378
2020-09-03,128.38,128.38,128.38,128.38,1.84,128.38,0.12838,3376.394
2020-09-04,127.53,127.53,127.53,127.53,-0.66,127.53,0.12753,3354.039
2020-09-08,128.03,128.03,128.03,128.03,0.39,128.03,0.12803,3367.1890000000003
2020-09-09,126.78,126.78,126.78,126.78,-0.98,126.78,0.12678,3334.3140000000003
2020-09-10,126.77,126.77,126.77,126.77,-0.01,126.77,0.12677,3334.051
2020-09-11,127.43,127.43,127.43,127.43,0.52,127.43,0.12743000000000002,3351.4090000000006
2020-09-14,128.86,128.86,128.86,128.86,1.12,128.86,0.12886,3389.018
2020-09-15,128.01,128.01,128.01,128.01,-0.66,128.01,0.12800999999999998,3366.6629999999996
2020-09-16,126.01,126.01,126.01,126.01,-1.56,126.01,0.12601,3314.063
2020-09-17,126.59,126.59,126.59,126.59,0.46,126.59,0.12659,3329.317
2020-09-18,127.09,127.09,127.09,127.09,0.39,127.09,0.12709,3342.467
2020-09-21,126.01,126.01,126.01,126.01,-0.85,126.01,0.12601,3314.063
2020-09-22,125.73,125.73,125.73,125.73,-0.22,125.73,0.12573,3306.699
2020-09-23,124.79,124.79,124.79,124.79,-0.75,124.79,0.12479000000000001,3281.9770000000003
2020-09-24,123.97,123.97,123.97,123.97,-0.66,123.97,0.12397,3260.411
2020-09-25,123.81,123.81,123.81,123.81,-0.13,123.81,0.12381,3256.203
2020-09-28,124.21,124.21,124.21,124.21,0.32,124.21,0.12420999999999999,3266.7229999999995
2020-09-29,124.02,124.02,124.02,124.02,-0.15,124.02,0.12401999999999999,3261.7259999999997
2020-09-30,123.98,123.98,123.98,123.98,-0.03,123.98,0.12398,3260.674
2020-10-01,121.43,121.43,121.43,121.43,-2.06,121.43,0.12143000000000001,3193.6090000000004
2020-10-02,120.6,120.6,120.6,120.6,-0.68,120.6,0.1206,3171.7799999999997
2020-10-05,121.03,121.03,121.03,121.03,0.36,121.03,0.12103,3183.089
2020-10-06,121.84,121.84,121.84,121.84,0.67,121.84,0.12184,3204.3920000000003
